# method,path,operation_id,tag,security,request_schema,response_schema,success_status,flags,queries
POST,/api/v1/settings/notification-channels/{id}/test,postSettingsNotificationChannelsByIdTest,notifications,bearer,,GenericResponse,200,,
POST,/api/v1/settings/notification-rules/,postSettingsNotificationRules,notifications,bearer,GenericMutation,GenericResponse,201,,
POST,/api/v1/settings/notification-templates/,postSettingsNotificationTemplates,notifications,bearer,GenericMutation,GenericResponse,201,,
POST,/api/v1/vendors/,postVendors,vendors,bearer,GenericMutation,Vendor,201,feature-gated;quota-gated,
POST,/api/v1/vendors/{id}/assess,postVendorsByIdAssess,vendors,bearer,GenericMutation,GenericResponse,200,deprecated;feature-gated,
POST,/api/v1/vendors/{id}/assessments,postVendorsByIdAssessments,vendors,bearer,GenericMutation,GenericResponse,200,feature-gated,
POST,/api/v1/vendors/{id}/certifications,postVendorsByIdCertifications,vendors,bearer,GenericMutation,GenericResponse,201,feature-gated,
POST,/api/v1/vendors/{id}/contacts,postVendorsByIdContacts,vendors,bearer,GenericMutation,GenericResponse,201,feature-gated,
POST,/api/v1/vendors/{id}/contracts,postVendorsByIdContracts,vendors,bearer,GenericMutation,GenericResponse,201,feature-gated,
POST,/api/v1/vendors/{id}/subprocessors,postVendorsByIdSubprocessors,vendors,bearer,GenericMutation,GenericResponse,201,feature-gated,
POST,/api/v1/vendors/{id}/transitions,postVendorsByIdTransitions,vendors,bearer,GenericMutation,GenericResponse,200,feature-gated,
PUT,/api/v1/access/policies/{id},putAccessPoliciesById,access,bearer,AccessPolicyInput,AccessPolicyEnvelope,200,feature-gated,
PUT,/api/v1/access/policies/{id}/field-permissions,putAccessPoliciesByIdFieldPermissions,access,bearer,AccessFieldPermissionInput,AccessFieldPermissionEnvelope,200,feature-gated,
PUT,/api/v1/access/roles/{id},putAccessRolesById,access,bearer,ManagedRoleInput,ManagedRole,200,,
PUT,/api/v1/assets/{id},putAssetsById,assets,bearer,AssetInput,Asset,200,feature-gated,
PUT,/api/v1/audits/{id},putAuditsById,audits,bearer,GenericMutation,Audit,200,feature-gated,
PUT,/api/v1/audits/{id}/cancel,putAuditsByIdCancel,audits,bearer,,GenericResponse,200,feature-gated,
PUT,/api/v1/audits/{id}/close,putAuditsByIdClose,audits,bearer,,GenericResponse,200,feature-gated,
PUT,/api/v1/audits/{id}/complete,putAuditsByIdComplete,audits,bearer,,GenericResponse,200,feature-gated,
PUT,/api/v1/audits/{id}/findings/{findingID},putAuditsByIdFindingsByFindingID,audits,bearer,GenericMutation,Finding,200,feature-gated,
PUT,/api/v1/audits/{id}/start,putAuditsByIdStart,audits,bearer,,GenericResponse,200,feature-gated,
PUT,/api/v1/incidents/{id},putIncidentsById,incidents,bearer,IncidentPatch,Incident,200,feature-gated,
PUT,/api/v1/incidents/{id}/escalate,putIncidentsByIdEscalate,incidents,bearer,GenericMutation,GenericResponse,200,feature-gated,
PUT,/api/v1/incidents/{id}/status,putIncidentsByIdStatus,incidents,bearer,GenericMutation,GenericResponse,200,feature-gated,
PUT,/api/v1/integrations/{id},putIntegrationsById,integrations,bearer,GenericMutation,MessageResponse,200,,
PUT,/api/v1/notifications/preferences,putNotificationsPreferences,notifications,bearer,GenericMutation,GenericResponse,200,,
PUT,/api/v1/notifications/read-all,putNotificationsReadAll,notifications,bearer,,GenericResponse,200,,
PUT,/api/v1/notifications/{id}/acknowledge,putNotificationsByIdAcknowledge,notifications,bearer,,GenericResponse,200,,
PUT,/api/v1/notifications/{id}/read,putNotificationsByIdRead,notifications,bearer,,GenericResponse,200,,
PUT,/api/v1/organizations/{id},putOrganizationsById,organizations,bearer,OrganizationInput,Organization,200,,
PUT,/api/v1/policies/{id},putPoliciesById,policies,bearer,GenericMutation,Policy,200,feature-gated,
PUT,/api/v1/policies/{id}/acknowledge,putPoliciesByIdAcknowledge,policies,bearer,GenericMutation,GenericResponse,200,feature-gated,
PUT,/api/v1/policies/{id}/approve,putPoliciesByIdApprove,policies,bearer,GenericMutation,GenericResponse,200,deprecated;feature-gated,
PUT,/api/v1/policies/{id}/assign,putPoliciesByIdAssign,policies,bearer,GenericMutation,GenericResponse,200,feature-gated,
PUT,/api/v1/policies/{id}/publish,putPoliciesByIdPublish,policies,bearer,,GenericResponse,200,feature-gated,
PUT,/api/v1/policies/{id}/submit-review,putPoliciesByIdSubmitReview,policies,bearer,GenericMutation,GenericResponse,201,deprecated;feature-gated,
PUT,/api/v1/risks/appetite/{categoryID},putRisksAppetiteByCategoryID,risks,bearer,GenericMutation,GenericResponse,200,feature-gated,
PUT,/api/v1/risks/{id},putRisksById,risks,bearer,GenericMutation,Risk,200,feature-gated,
PUT,/api/v1/risks/{id}/assign,putRisksByIdAssign,risks,bearer,GenericMutation,GenericResponse,200,feature-gated,
PUT,/api/v1/settings/feature-flags/{key},putSettingsFeatureFlagsByKey,capabilities,bearer,GenericMutation,GenericResponse,200,created-or-ok,
PUT,/api/v1/settings/notification-channels/{id},putSettingsNotificationChannelsById,notifications,bearer,GenericMutation,GenericResponse,200,,
PUT,/api/v1/settings/notification-rules/{id},putSettingsNotificationRulesById,notifications,bearer,GenericMutation,GenericResponse,200,,
PUT,/api/v1/settings/notification-templates/{id},putSettingsNotificationTemplatesById,notifications,bearer,GenericMutation,GenericResponse,200,,
PUT,/api/v1/settings/sso,putSettingsSso,integrations,bearer,GenericMutation,MessageResponse,200,feature-gated,
PUT,/api/v1/vendors/{id},putVendorsById,vendors,bearer,GenericMutation,Vendor,200,feature-gated,
PUT,/api/v1/vendors/{id}/certifications/{certificationID},putVendorsByIdCertificationsByCertificationID,vendors,bearer,GenericMutation,GenericResponse,200,feature-gated,
PUT,/api/v1/vendors/{id}/contacts/{contactID},putVendorsByIdContactsByContactID,vendors,bearer,GenericMutation,GenericResponse,200,feature-gated,
PUT,/api/v1/vendors/{id}/contracts/{contractID},putVendorsByIdContractsByContractID,vendors,bearer,GenericMutation,GenericResponse,200,feature-gated,
PUT,/api/v1/vendors/{id}/subprocessors/{subprocessorID},putVendorsByIdSubprocessorsBySubprocessorID,vendors,bearer,GenericMutation,GenericResponse,200,feature-gated,
DELETE,/api/v1/directory/groups/{groupID},deleteDirectoryGroupsByGroupID,directory,bearer,,,204,change-reason,expected_version:integer:true
DELETE,/api/v1/directory/groups/{groupID}/members/{userID},deleteDirectoryGroupsByGroupIDMembersByUserID,directory,bearer,GenericMutation,DirectoryGroup,200,,
GET,/api/v1/directory/groups/,getDirectoryGroups,directory,bearer,,DirectoryGroupList,200,paginated,search:string:false;group_type:string:false;sort_by:string:false;sort_dir:string:false
GET,/api/v1/directory/groups/{groupID},getDirectoryGroupsByGroupID,directory,bearer,,DirectoryGroup,200,,
GET,/api/v1/directory/groups/{groupID}/history,getDirectoryGroupsByGroupIDHistory,directory,bearer,,PaginatedGeneric,200,paginated,
GET,/api/v1/directory/groups/{groupID}/members,getDirectoryGroupsByGroupIDMembers,directory,bearer,,DirectoryUserList,200,paginated,
GET,/api/v1/directory/users/,getDirectoryUsers,directory,bearer,,DirectoryUserList,200,paginated,search:string:false;status:string:false;department:string:false;location:string:false;manager_user_id:string:false;role_slug:string:false;group_id:string:false;sort_by:string:false;sort_dir:string:false
GET,/api/v1/directory/users/{id},getDirectoryUsersById,directory,bearer,,DirectoryUser,200,,
GET,/api/v1/directory/users/{id}/history,getDirectoryUsersByIdHistory,directory,bearer,,PaginatedGeneric,200,paginated,
GET,/api/v1/directory/users/{id}/ownership-impact,getDirectoryUsersByIdOwnershipImpact,directory,bearer,,DirectoryOwnershipImpact,200,,
PATCH,/api/v1/directory/groups/{groupID},patchDirectoryGroupsByGroupID,directory,bearer,GenericMutation,DirectoryGroup,200,,
PATCH,/api/v1/directory/users/{id},patchDirectoryUsersById,directory,bearer,GenericMutation,DirectoryUser,200,,
POST,/api/v1/directory/groups/,postDirectoryGroups,directory,bearer,DirectoryGroupInput,DirectoryGroup,201,,
POST,/api/v1/directory/groups/{groupID}/members,postDirectoryGroupsByGroupIDMembers,directory,bearer,GenericMutation,DirectoryGroup,200,,
POST,/api/v1/directory/groups/{groupID}/members/bulk,postDirectoryGroupsByGroupIDMembersBulk,directory,bearer,GenericMutation,DirectoryGroup,200,,
POST,/api/v1/directory/users/,postDirectoryUsers,directory,bearer,DirectoryUserInput,DirectoryUser,201,quota-gated,
POST,/api/v1/directory/users/import,postDirectoryUsersImport,directory,bearer,DirectoryCSVImport,DirectoryImportResult,201,quota-gated;created-or-ok;csv-body;idempotent;change-reason,
POST,/api/v1/directory/users/import/preview,postDirectoryUsersImportPreview,directory,bearer,DirectoryCSVImport,DirectoryImportPreview,200,csv-body,
POST,/api/v1/directory/users/{id}/deprovision,postDirectoryUsersByIdDeprovision,directory,bearer,GenericMutation,,204,,
POST,/api/v1/directory/users/{id}/reactivate,postDirectoryUsersByIdReactivate,directory,bearer,GenericMutation,DirectoryUser,200,,
POST,/api/v1/directory/users/{id}/suspend,postDirectoryUsersByIdSuspend,directory,bearer,GenericMutation,DirectoryUser,200,,
POST,/api/v1/directory/users/{id}/transfer-ownership,postDirectoryUsersByIdTransferOwnership,directory,bearer,GenericMutation,GenericResponse,200,,
GET,/api/v1/settings/data-governance/policy,getSettingsDataGovernancePolicy,data-governance,bearer,,DataGovernancePolicy,200,feature-gated,
PUT,/api/v1/settings/data-governance/policy,putSettingsDataGovernancePolicy,data-governance,bearer,DataGovernancePolicyInput,DataGovernancePolicy,200,feature-gated;created-or-ok,
GET,/api/v1/settings/data-governance/retention-schedules,getSettingsDataGovernanceRetentionSchedules,data-governance,bearer,,RetentionScheduleList,200,feature-gated;paginated,record_type:string:false;status:string:false;classification:string:false;jurisdiction:string:false;search:string:false;sort_by:string:false;sort_direction:string:false
POST,/api/v1/settings/data-governance/retention-schedules,postSettingsDataGovernanceRetentionSchedules,data-governance,bearer,RetentionScheduleInput,RetentionSchedule,201,feature-gated,
GET,/api/v1/settings/data-governance/retention-schedules/{scheduleID},getSettingsDataGovernanceRetentionSchedulesByScheduleID,data-governance,bearer,,RetentionSchedule,200,feature-gated,
